Star Name,Identity,Magnitude,RA,Dec,Alt,Az,xcentroid,ycentroid,background_mean,obs_mag
Phecda,Gamma Ursae Majoris,2.44,178.4576972,53.6947597,65.73125861095167,338.7872567566758,335.7700896158067,308.43093940204096,None,-7.6285227247665945
Zosma,Delta Leonis,2.56,168.5270892,20.5237181,65.40879986357787,248.7139083342228,392.6056769317607,211.48499452503827,None,-7.642695283519122
Gienah,Gamma Corvi,2.59,183.951545,-17.5419306,39.92405819796398,191.23669555542278,361.7677194166692,85.92104318056424,None,-7.557061458702109
Algieba,Gamma Leonis,2.61,154.993,19.8416667,53.987268457494224,260.0005585017897,430.7785550098609,224.45570165751536,None,-7.826765520388012
Zubeneshamali,Beta Librae,2.61,229.2517242,-9.3829144,36.18871617948668,133.6695771816647,209.553961266171,107.62380618729297,None,-7.4603780119513505
Kraz,Beta Corvi,2.65,188.59675,-23.3966667,34.665957743912195,184.87652663840436,348.1534564120495,68.1225442919705,None,-7.511510229718978
Unukalhai,Alpha Serpentis,2.65,236.0669764,6.4256286,42.53140194243257,112.90747958127689,186.09887868664066,160.90162940793746,None,-7.645001645477226
Muphrid,Eta Bodtis,2.68,208.6711622,18.3977208,70.53246273766428,129.66227110097924,270.9153616533264,186.5338034680676,None,-7.584186537733839
Pulcherrima,Epsilon Bodtis,2.7,221.24675,27.0741667,65.0168574010217,93.52482384583278,234.98455652448746,218.22426872836152,None,-7.8196493843227035
Yed Prior,Delta Ophiuchi,2.74,243.5864106,-3.6943225,30.305058357836803,116.70958793399132,164.57002723733137,135.04377489037273,None,-7.999586549212109
Kornephoros,Beta Herculis,2.77,247.5549981,21.4896114,40.658310238889314,87.91487261523575,162.89387586276501,221.59553654725298,None,-7.306461295996705
Rastaban,Beta Draconis,2.79,262.60825,52.3013833,36.70898770797036,45.62407867731754,187.5839144146825,332.8613364780312,None,-7.307221946651975
Vindemiatrix,Epsilon Virginis,2.83,195.5441578,10.9591503,69.04739538204409,172.94675561987913,314.3409042921698,163.82976578969908,None,-7.588380167928131
Cor Caroli,Alpha Canem Venaticorum,2.9,194.007,38.3183333,83.40773958430955,6.947100870780191,310.3315997390989,253.41443264937732,None,-7.6028208310758805
Algorab,Delta Corvi,2.95,187.4660631,-16.5154314,41.41693002920075,187.04248343589083,349.9385368433078,86.54456250545688,None,-7.56157217131637
Tania Australis,Mu Ursae Majoris,3.05,155.5822489,41.4995192,58.72593390248566,298.7610890357631,398.52676906043484,290.0141661000495,None,-7.5783186525321655
Talitha Borealis,Iota Ursae Majoris,3.14,134.80189,48.0418261,43.726062495601035,308.14278579505225,419.0121913172805,331.359784345675,None,-7.496836007836994
Edasich,Iota Draconis,3.29,231.2323942,58.966065,52.69934293276494,31.754537902937717,242.21972093007275,325.9049013046799,None,-7.109093109726726
Megrez,Delta Ursae Majoris,3.31,183.8565028,57.0326156,63.96939930717333,348.6264794233948,323.02393692004085,316.3912285415769,None,-7.201297669973423
Auva,Delta Virginis,3.38,193.9008692,3.3974703,61.60623501199845,178.06182835706724,322.42431382302743,140.44255377525076,None,-7.5796462873140005
Adhafera,Zeta Leonis,3.44,154.1725667,23.4173117,54.79415730172304,266.1273935952153,428.3163858546341,236.97109053444692,None,-7.099911594170783
Alula Borealis,Nu Ursae Majoris,3.48,169.6197361,33.0943086,70.27280013451039,280.0693131624348,377.7858004823923,250.13544048290547,None,-7.036153180918422
Nekkar,Beta Bodtis,3.5,225.48651,40.3905669,62.54198335254713,62.529346877819506,232.07652783766306,264.6333904963608,None,-7.132433246351928
Porrima,Gamma Virginis,3.65,190.4165958,-1.4495139,56.68276650095002,184.66119414308145,335.35400748356255,127.49570542784066,None,-7.5291494855368235
Giauzar,Lambda Draconis,3.84,172.8509197,69.331075,50.754726747179824,348.90308441847355,325.76233048438905,356.0423593646756,None,-7.059803672836117
