Star Name,Identity,Magnitude,RA,Dec,Alt,Az,xcentroid,ycentroid,background_mean,obs_mag
Arcturus,Alpha Bodtis,-0.04,213.9153003,19.1824092,67.36552167039491,118.75386974682698,254.19772610251502,189.95417810224342,None,-8.616131073807274
Spica,Alpha Virginis,0.98,201.29825,-11.1613833,46.329789441074176,168.12681909731708,302.0067782895859,96.49846533553992,None,-8.435163246923684
Regulus,Alpha Leonis,1.35,152.0929625,11.9672089,47.54429349869,251.56594706332297,446.4230498059981,204.0569593099036,None,-8.081247505567442
Alioth,Epsilon Ursae Majoris,1.77,193.507,55.9597167,65.8161724426088,0.6846359336487379,305.62038797113473,310.3742837921076,None,-8.06413761605548
Dubhe,Alpha Ursae Majoris,1.79,165.9319647,61.7510347,55.30797476313052,337.75051537818433,346.3925115420019,339.04947270480244,None,-8.002974419471489
Alkaid,Eta Ursae Majoris,1.86,206.8851572,49.3132667,69.60583586433098,26.674595357315415,279.0329404260496,288.18707350690624,None,-7.910374458034715
Polaris,Alpha Ursae Minoris,2.02,37.953,89.2641667,31.10996742859025,359.6165762330519,297.9211239817743,407.5584911941718,None,-7.673123141022856
Rasalhague,Alpha Ophiuchi,2.08,263.7336228,12.5600375,22.843583851841,89.02468482653974,131.22452731441697,212.94007659885582,None,-8.061544379743154
Kochab,Beta Ursae Minoris,2.08,222.6763575,74.1555039,45.09356460747773,11.021578761942093,273.7840248040686,366.8748108635814,None,-7.962107204835016
Denebola,Beta Leonis,2.14,177.265,14.57195,67.58595047081003,223.43960250538007,371.14314949527886,185.01032204037855,None,-7.952066054692256
Alphecca,Alpha Coronae Borealis,2.23,233.672,26.7147167,54.3506438203152,87.47804277661749,200.5776488535487,225.25726442577033,None,-8.029018693397456
Eltanin,Gamma Draconis,2.23,269.1515411,51.4888956,32.5955495910987,45.837495244807904,178.80840787231787,338.81687414784784,None,-7.7239523767997245
Mizar,Zeta Ursae Majoris,2.27,200.9814292,54.9253611,66.17127068217327,11.383434835153652,291.8063427509676,306.15129941016295,None,-7.927988900162532
Merak,Beta Ursae Majoris,2.37,165.4603189,56.3824261,58.860965364672175,330.3167425879913,355.67002408099756,323.90181677341457,None,-7.797193552622973
