Star Name,Identity,Magnitude,RA,Dec,Alt,Az,xcentroid,ycentroid,background_mean,obs_mag
Arcturus,Alpha Bodtis,-0.04,213.9153003,19.1824092,57.020140058179926,255.80477945229046,443.95375849222,222.05610344071883,27.750194660449814,-9.148126171931652
Vega,Alpha Lyrae,0.03,279.2347347,38.7836889,63.60371228191183,65.63180832534658,222.3164812942366,261.44934277047525,31.968597003361868,-9.235415739832995
Altair,Alpha Aquilae,0.77,297.69575,8.8683333,38.57830641654898,105.03063676266527,148.94000517196793,158.94931471424877,40.11278635938662,-8.968435430182664
Antares,Alpha Scorpii,0.96,247.35175,-26.43195,31.83397309949078,180.45892109338985,353.88248716486027,30.187963491158015,32.235836879674814,-8.86202977939444
Deneb,Alpha Cygni,1.25,310.358,45.2802833,40.575719196942515,55.105512062128746,158.27048337332877,313.6643812135756,38.63624080083091,-8.662341072804331
Shaula,Lambda Scorpii,1.63,263.402,-37.1038833,19.656690278253716,166.79708441193887,302.9919839679359,5.029058116232465,41.69086596814034,-7.497826353218428
Alioth,Epsilon Ursae Majoris,1.77,193.507,55.9597167,45.47568143201684,319.41046843787717,406.90345982142856,373.53794642857144,27.291824951710897,-8.133345013315266
Dubhe,Alpha Ursae Majoris,1.79,165.9319647,61.7510347,31.29651848741346,326.62072511894706,407.41057441253264,422.65208877284596,29.069945450874815,-7.963146913241463
Alkaid,Eta Ursae Majoris,1.86,206.8851572,49.3132667,54.79939927022956,311.9584395538067,403.91984359726297,336.3318670576735,26.15807034699153,-8.277264073440353
Polaris,Alpha Ursae Minoris,2.02,37.953,89.2641667,31.090294715952748,0.31305074570770447,287.9522058823529,439.7702205882353,31.44856872486779,-7.591572238405403
Kochab,Beta Ursae Minoris,2.08,222.6763575,74.1555039,45.724299310617305,350.2881139183554,323.0830730793254,397.6739537788882,27.85792642855794,-8.010978329798249
Rasalhague,Alpha Ophiuchi,2.08,263.7336228,12.5600375,65.93158435249106,139.1183174206346,270.51894694854406,155.89190267251695,33.04995128973374,-8.497885834895541
Sadr,Gamma Cygni,2.2,305.5570911,40.2566792,43.40384001032183,62.433173929374135,157.6978978978979,289.54294294294294,41.144237652812045,-8.053535594605846
Alphecca,Alpha Coronae Borealis,2.23,233.672,26.7147167,76.61981561527895,251.49235596019673,370.58310172317954,224.99888827126182,27.820040711200065,-8.137577908363879
Eltanin,Gamma Draconis,2.23,269.1515411,51.4888956,64.83849459147919,31.93974730710526,256.68726823238563,307.1718170580964,29.412621631161517,-8.022446293190633
Mizar,Zeta Ursae Majoris,2.27,200.9814292,54.9253611,49.836742330945526,319.2810605960009,399.20899718837865,360.64948453608247,27.360504525816896,-8.322986037721128
Dschubba,Delta Scorpii,2.32,240.08325,-22.6216667,35.13335535468078,188.712134108057,379.6570076877587,46.688941454760496,33.94876846211736,-8.070359018994354
Merak,Beta Ursae Majoris,2.37,165.4603189,56.3824261,29.989739163386332,320.56060755505365,428.8201550387597,415.27596899224807,29.16181242455266,-7.023899286588168
Sabik,Eta Ophiuchi,2.43,257.5945286,-15.7249067,41.64189826026269,167.35484994761063,308.1601895734597,57.6,35.36153630979164,-7.558131149084279
Alderamin,Alpha Cephei,2.44,319.6448847,62.5855744,36.12437716018421,32.65642518370771,192.1390977443609,379.34586466165416,32.86386508491419,-6.814779080737621
Phecda,Gamma Ursae Majoris,2.44,178.4576972,53.6947597,36.912653606226364,315.9834263116128,430.97300944669365,389.7975708502024,27.78352481819722,-7.17454551994832
Zubeneshamali,Beta Librae,2.61,229.2517242,-9.3829144,45.1798667467597,206.47196139419103,415.62757201646093,99.3858024691358,29.363319501064435,-7.469165662315687
Graffias,Beta Scorpii,2.62,241.3593,-19.8054528,38.08236879258923,187.70754633369782,373.70951585976627,53.4440734557596,32.24606258749757,-7.696142045133232
