Star Name,Identity,Magnitude,RA,Dec,Alt,Az,xcentroid,ycentroid,background_mean,obs_mag
Unukalhai,Alpha Serpentis,2.65,236.0669764,6.4256286,62.383991984090045,205.96563697282465,379.8882480173035,147.40374909877434,29.711995119825676,-7.855191152683211
Muphrid,Eta Bodtis,2.68,208.6711622,18.3977208,52.28947721673732,258.74746191228814,461.6571906354515,227.73494983277592,27.842941785727938,-7.69432794913098
Pulcherrima,Epsilon Bodtis,2.7,221.24675,27.0741667,66.3767841203949,265.3879252898269,410.4117015566291,240.21846484165326,27.620476638801676,-8.175532137240607
Tarazed,Gamma Aquilae,2.72,296.5649178,10.6132614,40.46879013889302,103.93615638505322,152.68996960486322,164.34650455927053,45.24343374690761,-7.0455647340348895
Yed Prior,Delta Ophiuchi,2.74,243.5864106,-3.6943225,54.33742479558766,187.28137859227704,357.0594125500668,104.69492656875835,30.835054476876703,-7.93877953340862
Kornephoros,Beta Herculis,2.77,247.5549981,21.4896114,79.75499930031029,181.69997796773126,326.61962750716333,195.15329512893982,29.161319384607342,-7.8622135457178555
Kelb al Rai,Beta Ophiuchi,2.77,265.8681361,4.5673044,58.03512910187742,144.37360372026725,264.6312554872695,125.64969271290606,34.67318236798897,-7.641309310197752
Rastaban,Beta Draconis,2.79,262.60825,52.3013833,66.80824908819581,23.097420989312518,272.6178414096916,309.61453744493394,28.234033150131538,-7.395214621302713
Cor Caroli,Alpha Canem Venaticorum,2.9,194.007,38.3183333,45.99428228112955,294.03261109800593,456.53277711561384,321.84743742550654,27.025578685936594,-7.309404902071751
Pherkad,Gamma Ursae Minoris,3.05,230.182,71.8338833,48.78809708026013,351.6015763695114,319.0461760461761,387.2092352092352,27.791523811569487,-7.101833086529517
Altais,Delta Draconis,3.07,288.1387581,67.6615406,47.15699972016054,21.047339842167766,240.98338368580062,372.0604229607251,29.252516269110952,-7.05214497359925
Albireo,Beta Cygni,3.08,292.6803583,27.9596778,51.247207081781006,83.54913459056247,174.17521781219747,228.135527589545,43.01471727381167,-7.535250803799052
Sarin,Delta Herculis,3.14,258.7579608,24.8392069,78.22735128172194,122.98476660772833,285.30105017502916,203.44340723453908,30.487746720465665,-7.3324520548079954
Yed Posterior,Epsilon Ophiuchi,3.24,244.5803739,-4.6925094,53.43923947053311,185.44394788524968,353.6924528301887,100.93018867924528,30.254640982883725,-6.8106896740019724
Edasich,Iota Draconis,3.29,231.2323942,58.966065,60.53863919586202,342.3828101061606,337.05874125874124,344.6643356643357,26.830985420188,-7.135765104502702
Shelyak,Beta Lyrae,3.45,282.52,33.3627833,60.90686194986473,77.25752730281044,209.15194805194804,241.95064935064934,34.90703449807427,-7.216226812931205
Rasalgethi,Alpha Herculis,3.48,258.662,14.3902833,70.06336271396724,147.85271714651373,288.8677555321391,163.15015806111697,32.832542787925775,-8.195740520228185
Nekkar,Beta Bodtis,3.5,225.48651,40.3905669,69.99152237591784,301.7920497283372,378.30223123732253,283.947261663286,27.285378054780356,-6.732117298193075
