id,xcentroid,ycentroid,source_sum,background_mean,obs_mag
Vega,222.3164812942366,261.44934277047525,4945,31.968597003361868,-9.235415739832995
Arcturus,443.95375849222,222.05610344071883,4563,27.750194660449814,-9.148126171931652
Altair,148.94000517196793,158.94931471424877,3867,40.11278635938662,-8.968435430182664
Antares,353.88248716486027,30.187963491158015,3506,32.235836879674814,-8.86202977939444
Deneb,158.27048337332877,313.6643812135756,2917,38.63624080083091,-8.662341072804331
Rasalhague,270.51894694854406,155.89190267251695,2507,33.04995128973374,-8.497885834895541
Mizar,399.20899718837865,360.64948453608247,2134,27.360504525816896,-8.322986037721128
Alkaid,403.91984359726297,336.3318670576735,2046,26.15807034699153,-8.277264073440353
Rasalgethi,288.8677555321391,163.15015806111697,1898,32.832542787925775,-8.195740520228185
Pulcherrima,410.4117015566291,240.21846484165326,1863,27.620476638801676,-8.175532137240607
Alphecca,370.58310172317954,224.99888827126182,1799,27.820040711200065,-8.137577908363879
Alioth,406.90345982142856,373.53794642857144,1792,27.291824951710897,-8.133345013315266
Dschubba,379.6570076877587,46.688941454760496,1691,33.94876846211736,-8.070359018994354
Sadr,157.6978978978979,289.54294294294294,1665,41.144237652812045,-8.053535594605846
Eltanin,256.68726823238563,307.1718170580964,1618,29.412621631161517,-8.022446293190633
Kochab,323.0830730793254,397.6739537788882,1601,27.85792642855794,-8.010978329798249
Dubhe,407.41057441253264,422.65208877284596,1532,29.069945450874815,-7.963146913241463
Yed Prior,357.0594125500668,104.69492656875835,1498,30.835054476876703,-7.93877953340862
Kornephoros,326.61962750716333,195.15329512893982,1396,29.161319384607342,-7.8622135457178555
Unukalhai,379.8882480173035,147.40374909877434,1387,29.711995119825676,-7.855191152683211
Graffias,373.70951585976627,53.4440734557596,1198,32.24606258749757,-7.696142045133232
Muphrid,461.6571906354515,227.73494983277592,1196,27.842941785727938,-7.69432794913098
Kelb al Rai,264.6312554872695,125.64969271290606,1139,34.67318236798897,-7.641309310197752
Polaris,287.9522058823529,439.7702205882353,1088,31.44856872486779,-7.591572238405403
Sabik,308.1601895734597,57.6,1055,35.36153630979164,-7.558131149084279
Albireo,174.17521781219747,228.135527589545,1033,43.01471727381167,-7.535250803799052
Shaula,302.9919839679359,5.029058116232465,998,41.69086596814034,-7.497826353218428
Zubeneshamali,415.62757201646093,99.3858024691358,972,29.363319501064435,-7.469165662315687
Rastaban,272.6178414096916,309.61453744493394,908,28.234033150131538,-7.395214621302713
Sarin,285.30105017502916,203.44340723453908,857,30.487746720465665,-7.3324520548079954
Cor Caroli,456.53277711561384,321.84743742550654,839,27.025578685936594,-7.309404902071751
Shelyak,209.15194805194804,241.95064935064934,770,34.90703449807427,-7.216226812931205
Phecda,430.97300944669365,389.7975708502024,741,27.78352481819722,-7.17454551994832
Edasich,337.05874125874124,344.6643356643357,715,26.830985420188,-7.135765104502702
Pherkad,319.0461760461761,387.2092352092352,693,27.791523811569487,-7.101833086529517
Altais,240.98338368580062,372.0604229607251,662,29.252516269110952,-7.05214497359925
Tarazed,152.68996960486322,164.34650455927053,658,45.24343374690761,-7.0455647340348895
Merak,428.8201550387597,415.27596899224807,645,29.16181242455266,-7.023899286588168
Alderamin,192.1390977443609,379.34586466165416,532,32.86386508491419,-6.814779080737621
Yed Posterior,353.6924528301887,100.93018867924528,530,30.254640982883725,-6.8106896740019724
Nekkar,378.30223123732253,283.947261663286,493,27.285378054780356,-6.732117298193075
